matchId,blue_wins,blue_kills,blue_assists,blue_deaths,blue_wards_placed,blue_wards_kills,blue_dragon_kills,blue_herald_kills,blue_tower_kills,blue_inhibitor_kills,blue_total_gold,blue_average_lvl,blue_total_exp,blue_total_cs,red_kills,red_assists,red_deaths,red_wards_placed,red_wards_kills,red_dragon_kills,red_herald_kills,red_tower_kills,red_inhibitor_kills,red_total_gold,red_average_lvl,red_total_exp,red_total_cs
NA1_4183985739,True,9,7,9,15,3,0,1,0,0,18245,7.4,20070,258,9,6,9,23,5,1,0,0,0,20920,7.4,20655,349
NA1_4183991800,True,8,9,4,16,5,0,0,0,0,19878,7.8,21771,305,4,3,8,17,3,0,0,0,0,17203,7.6,20215,302
NA1_4183995204,True,5,6,4,16,5,0,0,0,0,18163,7.4,20483,333,4,4,5,14,6,1,1,0,0,19410,7.8,21823,363
NA1_4183996810,True,7,8,4,18,4,0,1,0,0,19238,7.4,20768,327,4,2,7,14,2,1,0,0,0,16028,7.4,20024,287
NA1_4183997718,True,12,12,12,19,5,1,1,0,0,20575,7.6,21007,285,12,10,12,16,3,0,0,0,0,21100,8.0,22175,311
NA1_4184001390,True,9,4,7,20,4,0,0,0,0,18974,7.8,21962,322,7,7,9,17,7,0,0,0,0,19218,7.6,21345,352
NA1_4184004553,True,15,18,5,17,3,0,0,0,0,22267,7.6,20960,277,5,4,15,14,6,0,0,0,0,18251,7.2,19123,310
NA1_4184004833,True,11,12,9,16,1,1,0,0,0,20315,7.0,19425,298,9,14,11,9,0,0,0,0,0,18615,7.4,19662,261
NA1_4184009957,True,8,8,5,17,3,0,0,0,0,19624,7.8,21632,327,5,3,8,13,3,0,1,0,0,17597,7.4,20473,337
NA1_4184010057,False,1,0,3,23,7,1,1,0,0,15910,7.6,20059,327,3,3,1,17,2,0,0,0,0,17080,7.8,20738,327
NA1_4184015092,False,1,2,8,18,3,0,0,0,0,17522,7.2,19528,328,8,15,1,18,4,1,1,0,0,19229,7.8,21523,323
NA1_4184015670,True,11,9,9,19,6,1,1,0,0,20869,7.6,21655,321,9,9,11,20,2,0,0,0,0,20911,7.8,21454,320
NA1_4184016983,False,6,8,16,14,2,1,0,0,0,17128,6.8,17622,285,16,15,6,19,3,0,0,1,0,23983,7.8,22859,307
NA1_4184017618,True,4,5,4,17,4,1,0,0,0,18189,7.8,20831,347,4,6,4,17,1,0,1,0,0,18021,7.2,20189,346
NA1_4184019721,False,7,6,11,13,2,1,0,0,0,18914,7.6,20612,332,11,16,7,15,3,0,1,0,0,21130,8.0,23000,345
NA1_4184021193,False,11,9,8,13,1,0,1,0,0,21372,7.8,22247,357,8,7,11,12,2,1,0,0,0,19932,7.6,21255,324
NA1_4184023154,False,7,9,8,18,3,0,1,0,0,19141,7.6,20425,341,8,13,7,13,6,1,0,0,0,18849,7.6,21206,311
NA1_4184029216,True,9,7,7,17,3,0,1,0,0,18410,7.8,21641,307,7,4,9,14,4,1,0,0,0,18985,7.8,21141,342
NA1_4184029917,True,11,18,15,23,6,1,0,0,0,19388,6.6,15408,185,15,13,11,17,6,0,1,1,0,22166,7.4,19502,281
NA1_4184031289,True,6,6,6,19,2,0,1,0,0,19169,7.0,19038,309,6,3,6,13,4,1,0,0,0,16607,7.4,19130,288
NA1_4184032605,False,9,6,12,15,0,0,0,0,0,18564,7.4,20136,288,12,14,9,17,4,1,0,0,0,20050,7.4,19593,277
NA1_4184035907,True,12,15,8,15,3,0,0,1,0,21946,7.8,21590,323,8,5,12,15,0,0,0,0,0,18413,7.6,20929,259
NA1_4184037539,True,10,13,4,10,4,1,0,0,0,20789,7.8,21955,345,4,5,10,17,2,0,0,0,0,16730,7.2,19010,312
NA1_4184037814,False,1,0,2,18,3,1,1,0,0,15694,7.0,17884,293,2,0,1,14,3,0,0,0,0,17760,7.8,21715,352
NA1_4184038846,False,4,4,4,19,1,1,0,0,0,17600,7.4,19943,314,4,4,4,16,1,0,0,0,0,18562,8.0,22368,351
NA1_4184040684,False,7,8,9,16,5,0,0,0,0,17028,7.0,18772,259,9,6,7,19,2,0,0,0,0,20089,7.4,20359,317
NA1_4184042145,True,5,9,6,15,3,0,1,0,0,17829,7.6,20443,316,6,7,5,16,4,1,0,0,0,18931,7.6,21948,356
NA1_4184045618,True,8,2,8,19,4,0,0,0,0,18476,7.4,21393,322,8,11,8,17,6,1,1,0,0,20012,7.4,21001,348
NA1_4184048242,True,12,13,2,16,6,0,0,0,0,20342,7.4,20780,284,2,2,12,19,4,0,1,0,0,16938,7.2,18934,304
NA1_4184052047,True,8,10,3,18,6,1,0,0,0,18876,7.6,20054,347,3,4,8,24,5,0,1,0,0,16528,7.2,19105,305
NA1_4184053564,False,6,8,8,16,6,0,0,0,0,18677,7.4,20239,304,8,8,6,17,2,1,1,1,0,20129,7.4,20729,301
NA1_4184054796,False,8,9,10,21,4,0,0,0,0,19005,7.4,20324,289,10,10,8,24,5,1,0,0,0,19814,7.2,19730,295
NA1_4184057929,True,9,11,6,19,7,0,1,0,0,19471,7.6,21065,279,6,3,9,19,8,1,0,0,0,17859,7.4,20531,303
NA1_4184061281,False,11,10,7,12,4,1,1,1,0,20695,7.4,19904,281,7,10,11,20,2,0,0,0,0,19163,7.4,20834,313
NA1_4184067906,True,7,7,5,14,2,0,0,0,0,17999,7.2,19146,304,5,9,7,16,1,1,0,0,0,16906,7.6,19962,271
NA1_4184070771,False,8,8,11,19,4,0,0,0,0,18022,6.8,18044,268,11,11,8,15,5,1,0,0,0,19246,7.2,19775,298
NA1_4184071855,True,11,9,6,20,9,0,1,1,0,21846,7.8,21913,317,6,5,11,21,9,1,0,0,0,18390,7.0,18739,321
NA1_4184072506,False,9,4,8,16,0,0,0,0,0,18676,7.8,21248,285,8,7,9,11,0,0,0,0,0,17710,7.4,20157,251
NA1_4184074165,False,7,3,8,19,1,0,0,0,0,18434,7.8,21144,332,7,9,6,20,3,1,0,0,0,18339,7.0,19636,328
NA1_4184082578,False,6,6,8,17,0,0,0,0,0,17453,7.2,18999,274,8,3,6,13,3,1,0,0,0,18383,7.6,20954,300
NA1_4184082794,False,5,9,10,16,1,0,0,0,0,17425,7.4,20013,299,10,14,5,14,4,1,0,0,0,19695,7.8,20937,323
NA1_4184086928,False,3,3,4,14,5,0,0,0,0,17361,7.4,20666,332,4,5,3,16,3,1,1,0,0,18252,7.8,21460,363
NA1_4184088336,True,8,6,8,13,4,0,1,0,0,19001,7.6,21085,312,8,11,8,20,5,0,0,0,0,19349,7.4,20220,329
NA1_4184088372,True,4,1,10,21,3,0,1,0,0,16375,7.4,18958,299,10,12,4,19,8,0,0,0,0,20507,7.8,21262,333
NA1_4184091149,False,5,5,6,12,6,0,1,0,0,17628,7.4,19931,310,6,3,5,22,6,1,0,0,0,19120,7.8,22231,367
NA1_4184093953,False,5,4,5,20,5,0,1,0,0,18651,7.8,21556,324,5,3,5,19,3,1,0,0,0,19356,7.4,20102,338
NA1_4184094156,True,8,10,15,14,6,0,0,0,0,18919,7.2,19728,319,14,29,7,16,3,1,0,0,0,22122,7.6,21506,336
NA1_4184098071,True,5,5,8,19,4,0,1,0,0,17726,7.2,19012,314,8,10,5,16,4,1,0,0,0,19804,7.6,21519,335
NA1_4184100472,True,7,7,12,19,3,1,1,0,0,20952,7.2,19841,312,12,14,7,19,1,0,0,0,0,20539,7.2,19125,280
NA1_4184106222,False,10,4,10,20,2,0,0,0,0,18772,7.4,19664,290,10,10,10,16,2,1,1,0,0,19540,7.4,20056,284
NA1_4184107475,True,14,13,9,24,2,0,0,1,0,22950,7.4,20181,294,8,6,13,19,3,1,0,0,0,18300,7.4,19356,285
NA1_4184109603,True,8,11,6,20,5,0,1,0,0,19665,7.4,20336,317,6,6,8,15,3,1,0,0,0,18054,7.2,19889,308
NA1_4184113321,False,3,2,7,23,3,0,0,0,0,16267,7.4,19614,305,7,8,3,19,3,0,1,0,0,19564,7.8,21809,356
NA1_4184113450,True,11,16,3,14,4,1,0,0,0,20518,7.4,20415,321,3,2,11,18,1,0,1,0,0,16565,7.6,19765,318
NA1_4184116025,True,11,13,2,19,6,1,0,0,0,20538,7.6,21528,329,2,3,11,19,3,0,0,0,0,16413,7.4,19826,301
NA1_4184117393,False,5,4,11,14,1,0,0,0,0,16175,6.8,17269,243,11,12,5,17,3,1,0,0,0,22380,7.8,22361,329
NA1_4184122121,True,5,3,7,18,1,0,0,0,0,18095,7.4,20448,314,7,7,5,20,8,1,0,0,0,18565,7.4,20629,316
NA1_4184122715,True,5,7,7,14,1,0,0,0,0,16402,6.8,17962,214,7,10,5,15,6,1,1,1,0,20471,7.4,21368,349
NA1_4184127849,False,2,4,6,14,3,0,1,0,0,16370,7.4,20468,330,6,9,2,15,2,1,0,0,0,19366,8.0,22816,356
NA1_4184128977,True,8,9,7,21,5,0,0,0,0,19415,7.6,20860,307,7,4,8,18,6,1,0,0,0,17301,7.2,19041,276
NA1_4184129806,False,6,7,10,16,2,1,1,0,0,17704,7.0,18219,267,10,12,6,17,5,0,0,0,0,20668,7.8,22466,361
NA1_4184133626,False,5,7,4,16,3,0,0,0,0,18335,7.4,21524,347,4,6,5,14,5,1,0,0,0,18138,7.8,21534,351
NA1_4184134487,False,10,15,7,21,4,0,1,0,0,19534,7.8,20788,284,7,4,10,20,5,1,0,0,0,17964,7.2,19215,301
NA1_4184135570,True,12,14,6,16,6,0,0,0,0,22016,7.8,22131,338,6,13,12,15,3,0,0,0,0,18984,7.6,20783,313
NA1_4184141835,True,6,4,6,13,1,1,1,0,0,18762,7.8,21052,330,6,7,6,14,1,0,0,0,0,18544,7.4,20342,299
NA1_4184146147,False,4,8,4,15,1,0,0,0,0,16606,7.2,19990,302,4,4,4,16,5,1,0,0,0,17139,7.4,19621,294
NA1_4184146949,False,9,8,8,10,2,0,0,0,0,19548,7.8,21269,295,8,8,9,15,1,1,1,1,0,19872,8.0,21853,291
NA1_4184147422,False,3,2,9,14,1,1,0,0,0,15615,7.0,18031,303,9,4,3,9,4,0,1,0,0,19510,7.8,22144,332
NA1_4184148780,True,11,11,1,21,3,1,0,0,0,21956,8.0,23085,354,1,2,11,15,4,0,0,0,0,15809,7.2,19602,302
NA1_4184151244,False,8,7,11,20,1,1,0,1,0,19443,7.2,20350,320,11,10,8,13,2,0,0,0,0,20837,7.4,21018,316
NA1_4184152184,True,5,5,8,19,5,1,0,0,0,17692,7.4,20103,312,8,8,5,18,2,0,1,0,0,18706,7.2,19982,310
NA1_4184154717,True,6,6,6,22,8,0,1,0,0,18969,7.4,20642,332,6,6,6,18,7,0,0,0,0,17262,7.0,18473,310
NA1_4184154884,False,6,9,6,13,2,1,0,0,0,17857,7.2,19888,290,6,7,6,15,4,0,1,0,0,19362,7.4,20287,344
NA1_4184156545,False,2,0,3,11,5,1,1,0,0,16798,7.4,19915,329,3,4,2,22,1,0,0,0,0,17933,7.6,20760,308
NA1_4184159490,True,6,10,9,11,3,1,0,0,0,17786,7.4,19097,305,9,8,6,17,2,0,1,1,0,21746,7.8,21728,349
NA1_4184160476,False,4,4,3,18,5,1,1,0,0,17507,7.6,20951,343,3,5,4,22,3,0,0,0,0,17387,7.2,18938,313
NA1_4184161304,True,5,4,4,21,5,1,1,0,0,17525,7.2,19518,293,4,4,5,20,1,0,0,0,0,16534,7.4,19161,291
NA1_4184161921,False,2,2,2,17,2,0,1,0,0,17112,7.2,20337,341,2,4,2,14,4,1,0,0,0,17136,7.2,20523,348
NA1_4184165273,False,3,4,4,15,4,0,1,0,0,16983,7.4,20028,307,4,5,3,21,3,1,0,0,0,18391,8.0,21652,347
NA1_4184165390,True,5,5,8,20,7,1,1,0,0,19013,7.6,21043,351,8,12,5,21,5,0,0,0,0,19386,7.2,19409,296
NA1_4184166968,False,5,7,7,15,2,0,0,0,0,17468,7.4,19962,305,7,9,5,18,6,1,1,0,0,19555,7.4,20937,324
NA1_4184169287,True,9,12,11,18,2,0,1,0,0,20335,7.4,20482,315,11,22,9,19,4,1,0,0,0,20784,7.4,19930,315
NA1_4184169645,False,5,3,8,15,3,0,0,0,0,17802,7.4,20425,335,8,3,5,18,4,0,1,0,0,20071,8.2,22781,339
NA1_4184170033,True,11,10,8,15,6,0,1,0,0,20918,8.0,22526,322,8,10,11,16,1,0,0,0,0,19402,7.2,19739,309
NA1_4184171966,True,7,4,7,18,5,0,0,0,0,19144,7.4,21098,322,7,6,7,16,4,0,1,0,0,18330,7.2,20380,291
NA1_4184172641,True,6,5,7,18,4,0,0,0,0,17769,7.4,19989,300,7,6,6,15,4,1,1,1,0,19476,7.6,21209,294
NA1_4184174675,False,5,6,4,21,6,0,1,0,0,17480,7.4,19775,305,4,1,5,20,6,1,0,0,0,17324,7.6,20261,349
NA1_4184175084,False,5,3,9,15,5,1,0,0,0,18367,7.4,20544,316,9,8,5,20,5,0,0,0,0,19077,7.6,19578,315
NA1_4184175207,True,7,8,11,17,2,1,0,0,0,17600,7.4,18980,287,11,8,7,18,1,0,1,1,0,20889,7.8,21618,288
NA1_4184177420,False,6,8,6,16,1,0,1,0,0,18131,7.4,20467,325,6,9,6,14,5,0,0,0,0,18133,7.4,19973,311
NA1_4184178330,False,1,1,3,15,3,0,1,0,0,15898,7.4,19168,320,3,7,1,16,6,1,0,0,0,16895,7.4,19111,302
NA1_4184180384,True,8,7,3,18,6,0,0,0,0,18582,7.4,20068,304,3,2,8,20,2,0,0,0,0,16810,7.2,18644,295
NA1_4184181239,True,9,8,5,17,2,1,1,0,0,20035,7.8,22219,333,5,4,9,13,0,0,0,1,0,19565,7.4,20701,320
NA1_4184185645,False,5,8,9,16,4,0,0,0,0,17716,7.2,19885,324,9,8,5,18,4,1,1,0,0,21276,7.8,21596,365
NA1_4184186393,True,10,15,5,19,3,1,0,0,0,20297,7.8,21796,341,5,6,10,16,5,0,0,0,0,17424,7.2,19168,324
NA1_4184187314,True,8,9,5,15,5,1,0,0,0,19122,7.6,21100,285,5,1,8,13,0,0,1,0,0,16803,7.4,20758,283
NA1_4184190607,True,8,7,11,21,5,1,1,0,0,19349,8.0,22220,353,11,15,8,18,6,0,0,0,0,19953,7.8,21322,300
NA1_4184192183,True,16,24,4,20,3,0,0,1,0,24401,8.2,23628,339,4,4,16,8,4,0,0,0,0,15531,7.0,18799,232
NA1_4184192407,False,4,6,5,18,5,0,0,0,0,17469,7.4,20933,327,5,3,4,17,5,0,1,0,0,17511,7.2,19734,307
NA1_4184194819,True,6,7,7,16,1,0,1,0,0,18789,7.6,20820,341,7,9,6,13,2,1,0,0,0,17850,7.4,19608,291
NA1_4184196607,False,8,8,10,18,2,1,0,0,0,18762,7.2,19011,273,10,8,8,16,5,0,0,0,0,22077,7.2,19341,280
NA1_4184197068,True,6,4,5,18,4,1,0,0,0,18662,7.6,20844,321,5,4,6,17,8,0,1,0,0,17292,7.4,19840,293
NA1_4184198666,True,8,10,7,18,5,1,1,0,0,20020,7.8,21192,352,7,11,8,14,6,0,0,0,0,18786,7.6,21250,339
NA1_4184199608,True,11,17,11,15,5,1,1,0,0,20080,7.6,20687,302,11,11,11,18,3,0,0,0,0,19584,7.6,21358,304
NA1_4184208069,True,15,16,9,19,1,0,0,0,0,22030,7.6,21659,283,9,6,15,13,1,0,0,0,0,18067,7.2,18785,251
NA1_4184208335,True,4,4,10,13,3,1,1,0,0,16938,7.4,20093,289,10,13,4,15,2,0,0,0,0,19955,8.0,22283,324
NA1_4184208746,True,6,12,7,17,4,0,0,0,0,17901,6.6,17071,274,7,7,6,23,5,0,1,0,0,17671,7.0,18128,291
NA1_4184210895,False,4,5,4,17,2,0,0,0,0,17458,7.4,19782,309,4,0,4,20,3,1,0,0,0,17708,7.6,20035,345
NA1_4184221814,False,6,9,6,16,3,0,1,0,0,18408,7.6,21782,328,6,6,6,18,2,1,0,0,0,17476,7.8,21155,313
NA1_4184222824,False,5,3,5,16,7,0,0,0,0,17108,7.2,19901,282,5,5,5,14,2,1,0,0,0,17636,7.2,19713,326
NA1_4184223828,True,5,4,5,15,2,0,1,0,0,17251,7.4,20157,290,5,5,5,18,5,1,0,0,0,18396,7.4,19560,335
NA1_4184225267,False,4,4,10,10,3,0,0,0,0,17509,7.2,19089,328,10,5,4,15,4,0,1,0,0,19345,8.0,21661,319
NA1_4184230762,False,9,2,10,16,3,0,1,1,0,18758,7.2,19938,297,9,17,8,18,3,1,0,0,0,19787,7.4,20451,291
NA1_4184231066,True,4,4,5,14,3,0,0,0,0,17713,7.4,20118,331,5,5,4,12,2,0,0,0,0,17537,7.4,19981,287
NA1_4184232840,True,6,5,4,19,4,0,0,0,0,19266,7.8,21707,343,4,3,6,19,4,1,1,0,0,17086,7.8,21613,320
NA1_4184235844,False,9,9,11,18,2,1,0,0,0,20030,7.2,19492,297,11,6,9,16,5,0,0,0,0,20634,7.6,20771,314
NA1_4184239344,False,5,5,8,17,3,0,0,0,0,17641,8.0,21534,316,8,10,5,16,1,1,0,0,0,19376,7.6,21039,326
NA1_4184239521,False,6,4,11,15,5,0,1,0,0,17471,7.6,20572,285,11,8,6,16,2,1,0,0,0,21585,7.8,22036,342
NA1_4184241661,False,10,8,11,15,2,1,0,0,0,19604,7.2,19137,295,11,16,10,16,4,0,1,0,0,20073,7.4,19734,286
NA1_4184242217,True,8,7,7,14,3,0,0,0,0,18898,7.8,21526,305,7,6,8,21,0,1,0,0,0,18700,7.4,19710,305
